,Date,Label
1,2018-02-22,Low
2,2018-02-23,High
3,2018-02-26,High
4,2018-02-27,Low
5,2018-02-28,Low
6,2018-03-01,Low
7,2018-03-05,Low
8,2018-03-06,Low
9,2018-03-07,Low
10,2018-03-08,High
11,2018-03-09,Low
12,2018-03-12,High
13,2018-03-13,High
14,2018-03-14,High
15,2018-03-15,Low
16,2018-03-16,Low
17,2018-03-19,Low
18,2018-03-20,High
19,2018-03-21,High
20,2018-03-22,Low
21,2018-03-23,Low
22,2018-03-26,High
23,2018-03-27,High
24,2018-03-28,Low
25,2018-04-02,High
26,2018-04-03,High
27,2018-04-04,Low
28,2018-04-05,High
29,2018-04-06,High
30,2018-04-09,High
31,2018-04-10,High
32,2018-04-11,High
33,2018-04-12,Low
34,2018-04-13,High
35,2018-04-16,High
36,2018-04-17,Low
37,2018-04-18,Low
38,2018-04-19,Low
39,2018-04-20,Low
40,2018-04-23,High
41,2018-04-24,Low
42,2018-04-25,Low
43,2018-04-26,Low
44,2018-04-27,High
45,2018-04-30,High
46,2018-05-02,Low
47,2018-05-03,Low
48,2018-05-04,High
49,2018-05-07,High
50,2018-05-08,Low
51,2018-05-09,High
52,2018-05-10,Low
53,2018-05-11,High
54,2018-05-14,High
55,2018-05-15,Low
56,2018-05-16,Low
57,2018-05-17,High
58,2018-05-18,Low
59,2018-05-21,Low
60,2018-05-22,Low
61,2018-05-23,Low
62,2018-05-24,High
63,2018-05-25,High
64,2018-05-28,High
65,2018-05-29,Low
66,2018-05-30,Low
67,2018-05-31,High
68,2018-06-01,Low
69,2018-06-04,High
70,2018-06-05,Low
71,2018-06-06,High
72,2018-06-07,High
73,2018-06-08,Low
74,2018-06-11,High
75,2018-06-12,High
76,2018-06-13,Low
77,2018-06-14,Low
78,2018-06-15,Low
79,2018-06-18,Low
80,2018-06-19,Low
81,2018-06-20,High
82,2018-06-21,Low
83,2018-06-22,High
84,2018-06-25,Low
85,2018-06-26,Low
86,2018-06-27,Low
87,2018-06-28,Low
88,2018-06-29,High
89,2018-07-02,Low
90,2018-07-03,High
91,2018-07-04,High
92,2018-07-05,Low
93,2018-07-06,High
94,2018-07-09,High
95,2018-07-10,High
96,2018-07-11,Low
97,2018-07-12,High
98,2018-07-13,High
99,2018-07-16,Low
100,2018-07-17,High
101,2018-07-18,High
102,2018-07-19,Low
103,2018-07-20,High
104,2018-07-23,High
105,2018-07-24,Low
106,2018-07-25,High
107,2018-07-26,High
108,2018-07-27,High
109,2018-07-30,High
110,2018-07-31,High
111,2018-08-01,High
112,2018-08-02,Low
113,2018-08-03,High
114,2018-08-06,High
115,2018-08-07,Low
116,2018-08-08,High
117,2018-08-09,High
118,2018-08-10,Low
119,2018-08-13,Low
120,2018-08-14,Low
121,2018-08-16,Low
122,2018-08-17,High
123,2018-08-20,High
124,2018-08-21,High
125,2018-08-23,High
126,2018-08-24,Low
127,2018-08-27,High
128,2018-08-28,High
129,2018-08-29,Low
130,2018-08-30,Low
131,2018-08-31,Low
132,2018-09-03,Low
133,2018-09-04,Low
134,2018-09-05,Low
135,2018-09-06,High
136,2018-09-07,High
137,2018-09-10,Low
138,2018-09-11,Low
139,2018-09-12,Low
140,2018-09-14,High
141,2018-09-17,Low
142,2018-09-18,Low
143,2018-09-19,Low
144,2018-09-21,High
145,2018-09-24,Low
146,2018-09-25,Low
147,2018-09-26,High
148,2018-09-27,Low
149,2018-09-28,Low
150,2018-10-01,High
151,2018-10-03,Low
152,2018-10-04,Low
153,2018-10-05,Low
154,2018-10-08,High
155,2018-10-09,Low
156,2018-10-10,High
157,2018-10-11,Low
158,2018-10-12,High
159,2018-10-15,High
160,2018-10-16,High
161,2018-10-17,Low
162,2018-10-19,Low
163,2018-10-22,High
164,2018-10-23,Low
165,2018-10-24,High
166,2018-10-25,Low
167,2018-10-26,Low
168,2018-10-29,High
169,2018-10-30,Low
170,2018-10-31,High
171,2018-11-01,Low
172,2018-11-02,High
173,2018-11-05,High
174,2018-11-06,High
175,2018-11-07,High
176,2018-11-09,High
177,2018-11-12,Low
178,2018-11-13,Low
179,2018-11-14,High
180,2018-11-15,High
181,2018-11-16,High
182,2018-11-19,High
183,2018-11-20,Low
184,2018-11-21,Low
185,2018-11-22,Low
186,2018-11-26,High
187,2018-11-27,High
188,2018-11-28,High
189,2018-11-29,High
190,2018-11-30,High
191,2018-12-03,High
192,2018-12-04,Low
193,2018-12-05,Low
194,2018-12-06,Low
195,2018-12-07,High
196,2018-12-10,Low
197,2018-12-11,Low
198,2018-12-12,High
199,2018-12-13,High
200,2018-12-14,High
201,2018-12-17,High
202,2018-12-18,High
203,2018-12-19,High
204,2018-12-20,Low
205,2018-12-21,Low
206,2018-12-24,Low
207,2018-12-26,High
208,2018-12-27,High
209,2018-12-28,High
210,2018-12-31,High
213,2019-01-03,Low
214,2019-01-04,High
215,2019-01-07,High
216,2019-01-08,Low
217,2019-01-09,Low
218,2019-01-10,Low
219,2019-01-11,Low
220,2019-01-14,Low
221,2019-01-15,High
222,2019-01-16,High
223,2019-01-17,Low
224,2019-01-18,High
225,2019-01-21,High
226,2019-01-22,Low
227,2019-01-23,Low
228,2019-01-24,High
229,2019-01-25,Low
230,2019-01-28,Low
231,2019-01-29,Low
232,2019-01-30,Low
233,2019-01-31,High
234,2019-02-01,High
235,2019-02-04,Low
236,2019-02-05,Low
237,2019-02-06,High
238,2019-02-07,High
239,2019-02-08,Low
240,2019-02-11,High
241,2019-02-12,Low
242,2019-02-14,Low
243,2019-02-15,Low
244,2019-02-18,Low
245,2019-02-19,Low
246,2019-02-20,High
247,2019-02-21,High
248,2019-02-22,High
249,2019-02-25,High
250,2019-02-26,Low
251,2019-02-27,Low
252,2019-02-28,Low
253,2019-03-01,High
254,2019-03-05,High
255,2019-03-06,High
256,2019-03-07,High
257,2019-03-08,Low
258,2019-03-11,High
259,2019-03-12,High
260,2019-03-13,High
261,2019-03-14,High
262,2019-03-15,High
263,2019-03-18,High
264,2019-03-19,High
265,2019-03-20,Low
266,2019-03-22,High
267,2019-03-25,Low
268,2019-03-26,High
269,2019-03-27,Low
270,2019-03-28,High
271,2019-04-01,High
272,2019-04-02,High
273,2019-04-03,Low
274,2019-04-04,Low
275,2019-04-05,High
276,2019-04-08,Low
277,2019-04-09,High
278,2019-04-10,Low
279,2019-04-11,High
280,2019-04-12,Low
281,2019-04-15,High
282,2019-04-16,Low
283,2019-04-18,High
284,2019-04-22,Low
285,2019-04-23,Low
286,2019-04-24,High
287,2019-04-25,Low
288,2019-04-26,High
289,2019-04-30,High
290,2019-05-02,High
291,2019-05-03,High
292,2019-05-06,Low
293,2019-05-07,Low
294,2019-05-08,Low
295,2019-05-09,Low
296,2019-05-10,Low
297,2019-05-13,Low
298,2019-05-14,Low
299,2019-05-15,Low
300,2019-05-16,High
301,2019-05-17,High
302,2019-05-20,High
303,2019-05-21,Low
306,2019-05-24,High
307,2019-05-27,High
308,2019-05-28,Low
309,2019-05-29,Low
310,2019-05-30,High
311,2019-05-31,Low
312,2019-06-03,High
313,2019-06-04,High
314,2019-06-06,Low
315,2019-06-07,High
316,2019-06-10,High
317,2019-06-11,High
318,2019-06-12,Low
319,2019-06-13,Low
320,2019-06-14,Low
321,2019-06-17,Low
322,2019-06-18,Low
323,2019-06-19,High
324,2019-06-20,High
325,2019-06-21,Low
326,2019-06-24,High
327,2019-06-25,High
328,2019-06-26,High
329,2019-06-27,Low
330,2019-06-28,Low
331,2019-07-01,High
332,2019-07-02,High
333,2019-07-03,High
334,2019-07-04,High
335,2019-07-05,Low
336,2019-07-08,Low
337,2019-07-09,Low
338,2019-07-10,Low
339,2019-07-11,High
340,2019-07-12,Low
341,2019-07-15,High
342,2019-07-16,High
343,2019-07-17,Low
344,2019-07-18,Low
345,2019-07-19,Low
