,Date,Gold,Crude Oil,FTSE 100,GBP/INR
0,2022-12-30,1826.2,80.26,8984.06365142,1.2060973555919998
1,2022-12-29,1826.0,78.4,9036.66022656,1.2017348487400001
2,2022-12-28,1815.8,78.96,9017.11782027,1.2029167798409999
3,2022-12-23,1804.2,79.56,8997.44425592,1.203969865386
4,2022-12-22,1795.3,77.49,9020.9482272,1.207927356528
5,2022-12-21,1823.9,78.29,9138.618299759999,1.219149623941
6,2022-12-20,1825.4,76.09,8957.75771646,1.215075958176
7,2022-12-19,1797.7,75.19,8951.55171537,1.214568707888
8,2022-12-16,1800.2,74.29,8937.25304616,1.218346734429
9,2022-12-15,1787.8,76.11,9222.87984831,1.2419677665600002
10,2022-12-14,1818.7,77.28,9262.46583938,1.235890567416
11,2022-12-13,1825.5,75.39,9206.676272760002,1.2267943401999999
12,2022-12-12,1792.3,73.17,9113.234372550001,1.2262993156480002
13,2022-12-09,1810.7,71.02,9144.00698103,1.223473890046
14,2022-12-08,1801.5,71.46,9160.386903600001,1.220412404776
15,2022-12-07,1798.0,72.01,8747.730347859999,1.2130644308999998
16,2022-12-05,1781.3,76.93,8895.0190315,1.228339056804
17,2022-12-01,1815.2,81.22,9120.58983,1.2076282328599999
18,2022-11-30,1759.9,80.55,9047.4168123,1.19503389075
19,2022-11-29,1763.7,78.2,8984.569848,1.1960046911439999
20,2022-11-28,1755.3,77.24,9009.729311460002,1.207931060872
21,2022-11-25,1768.8,76.28,9068.925297810001,1.2121043891449998
22,2022-11-23,1760.4,77.94,8879.581974679999,1.189076522938
23,2022-11-22,1754.8,80.95,8814.9210384,1.182450625664
24,2022-11-21,1754.6,79.73,8768.39685345,1.188035250156
25,2022-11-18,1769.0,80.08,8759.337502800001,1.186257763832
26,2022-11-17,1763.0,81.64,8753.59342004,1.1907239212260001
27,2022-11-16,1775.8,85.59,8733.53717236,1.185836733555
28,2022-11-15,1774.7,86.92,8660.93436,1.175104006627
29,2022-11-14,1774.2,85.87,8713.85809021,1.1819513145629998
30,2022-11-11,1774.2,88.96,8558.90881652,1.17067194475
31,2022-11-10,1753.7,86.47,7827.23962768,1.136759328612
32,2022-11-08,1716.0,88.91,8599.197808449999,1.1512514533409999
33,2022-11-07,1680.5,91.79,8154.86633463,1.137764767348
34,2022-11-04,1685.7,92.61,8510.55884889,1.116547832565
35,2022-11-03,1637.7,89.35,8146.216712120001,1.138592369824
36,2022-11-02,1651.0,88.57,8802.128929,1.1485493897260002
37,2022-11-01,1636.4,86.21,8591.21548655,1.146694986792
38,2022-10-31,1648.3,86.53,8226.78151535,1.1617220646400002
39,2022-10-28,1648.3,87.9,8151.36331268,1.15582291604
40,2022-10-27,1668.8,88.26,8232.494822109998,1.162001921168
41,2022-10-26,1669.2,87.91,8087.836779679999,1.1456665514579998
42,2022-10-25,1658.0,85.32,7930.660833519999,1.1310558096830001
43,2022-10-24,1654.1,84.58,7957.154221309999,1.1312016103900002
44,2022-10-21,1656.3,85.14,7821.0546405800005,1.122152525142
45,2022-10-20,1636.8,85.98,7784.824444909999,1.121122351129
46,2022-10-19,1634.2,85.55,7855.9164057,1.13294811222
47,2022-10-18,1655.5,82.82,7875.94684904,1.135883200914
48,2022-10-17,1664.0,85.46,7781.23550008,1.1233177907
49,2022-10-14,1672.9,85.61,7753.114486889999,1.1322335104130001
50,2022-10-13,1672.9,89.11,7607.608450120001,1.110087623535
51,2022-10-11,1686.0,89.35,8169.228972940001,1.10595388915
52,2022-10-10,1675.2,91.13,7705.85606163,1.1071390115600002
53,2022-10-06,1720.9,88.45,8309.32202576,1.134151608904
54,2022-10-05,1720.8,87.76,8294.457491480001,1.14720546885
55,2022-10-03,1702.0,83.63,7908.79090813,1.113913926711
56,2022-09-30,1672.0,79.49,7699.99971664,1.1132085351449998
57,2022-09-29,1668.6,81.23,7456.890923999999,1.086536348074
58,2022-09-28,1670.0,82.15,7515.06014406,1.07223346076
59,2022-09-27,1636.2,78.5,7524.38705356,1.0685878549119998
60,2022-09-26,1633.4,76.71,7580.79353205,1.082564653082
61,2022-09-23,1655.6,78.74,7905.877374799999,1.125381798528
62,2022-09-22,1681.1,83.49,8058.71275488,1.127534903028
63,2022-09-21,1675.7,82.94,8236.85410312,1.1377845027359998
64,2022-09-20,1671.1,84.45,8230.719076520001,1.143615687714
65,2022-09-16,1683.5,85.11,8287.9163202,1.146389925704
66,2022-09-15,1677.3,85.1,8407.106122579999,1.1545498263040002
67,2022-09-14,1709.1,88.48,8373.3778168,1.14984527163
68,2022-09-13,1717.4,87.31,8633.8856935,1.1685147538960001
